City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,remire-montjoly,4.9167,-52.2667,26.02,94,75,1.54,GF,1684975974
117,bredasdorp,-34.5322,20.0403,12.86,56,100,2.8,ZA,1684975975
118,ancud,-41.8697,-73.8203,10.04,74,84,9.16,CL,1684975975
119,palmas de monte alto,-14.2672,-43.1619,23.97,52,67,4.19,BR,1684975975
120,tommot,58.9564,126.2925,12.8,47,29,1.17,RU,1684975976
121,glace bay,46.1969,-59.957,6.29,91,100,5.14,CA,1684975960
122,caransebes,45.4167,22.2167,13.11,93,4,1.53,RO,1684975977
123,midvagur,62.0511,-7.1939,7.46,81,75,11.32,FO,1684975977
124,verkhnevilyuysk,63.4453,120.3167,9.47,38,16,3.59,RU,1684975977
125,vilyuchinsk,52.9306,158.4028,16.15,78,32,2.51,RU,1684975978
126,karpinsk,59.7654,60.0085,15.36,60,75,1.19,RU,1684975978
127,broken hill,-31.95,141.4333,17.21,25,99,8.63,AU,1684975978
128,kharabali,47.4196,47.2568,21.35,61,98,4.37,RU,1684975979
129,happy valley-goose bay,53.3168,-60.3315,4.17,93,100,7.2,CA,1684975979
130,bogo,11.0517,124.0055,30.29,68,97,0.94,PH,1684975979
131,malmberget,67.1753,20.6549,3.24,65,7,6.16,SE,1684975980
132,goshen,41.5823,-85.8344,20.05,34,0,5.66,US,1684975980
133,nishinoomote,30.7333,131.0,23.31,64,20,5.14,JP,1684975981
134,avellaneda,-29.1176,-59.6583,20.98,76,0,3.61,AR,1684975981
135,hadibu,12.65,54.0333,29.0,71,54,3.39,YE,1684975981
136,gordon,34.5004,-84.8666,23.94,54,0,2.06,US,1684975982
137,rumphi,-11.0186,33.8575,15.25,90,4,1.65,MW,1684975982
138,hawaiian paradise park,19.5933,-154.9731,25.41,85,100,5.66,US,1684975983
139,papatowai,-46.5619,169.4708,15.11,65,91,3.31,NZ,1684975984
140,qarauyl,48.9451,79.255,14.0,46,60,5.27,KZ,1684975984
141,ati,13.2154,18.3353,33.78,30,12,3.83,TD,1684975985
142,klyuchi,52.2667,79.1667,13.65,41,29,3.35,RU,1684975985
143,hafar al-batin,28.4328,45.9708,30.32,39,40,3.6,SA,1684975986
144,barguzin,53.6167,109.6167,6.28,54,32,4.39,RU,1684975986
145,atafu village,-8.5421,-172.5159,27.85,71,85,0.89,TK,1684975986
146,magadan,59.5667,150.8,2.02,84,100,2.09,RU,1684975987
